CIK,Name,Year,Accounts payable,Accrued liabilities,Additional Paid-in capital,"Common stock, par value",Current liabilities,Government and agency securities obligations,Income tax payable,Long-term borrowing,Other equity,Other liabilities,Payable to Broker/Dealers,Payable to customers and counterparties,Payable to parent and affiliates,Repurchase Agreements (repo),Retained (Accumulated) earnings,Securities borrowed,Securities sold short,Short-term borrowing,Subordinated liabilities,Total liabilities,Total liabilities and shareholder's equity,Total shareholder's equity,Treasury stock
42352,GOLDMAN SACHS & CO. LLC ,2003,,2483230.0,,,,,21663.0,386380.0,4029610.0,,3122873.0,51008246.0,,96882436.0,,,15173432.0,34352002.0,6522936.0,,,,
42352,GOLDMAN SACHS & CO. LLC ,2004,,3230412.0,,,,,9280.0,1079186.0,3978040.0,,6280957.0,62607146.0,,118090309.0,,,25490290.0,38176327.0,8805358.0,,,,
42352,GOLDMAN SACHS & CO. LLC ,2005,,4542417.0,,,,,3419.0,1519157.0,8418083.0,,7844614.0,86042195.0,,148015270.0,,,40404806.0,44011767.0,12000000.0,,348590977.0,,
42352,GOLDMAN SACHS & CO. LLC ,2006,,5303491.0,,,,,9156.0,1830898.0,9062642.0,,10833266.0,90458341.0,,252575420.0,,,54946208.0,42888616.0,12500000.0,,475872139.0,,
42352,GOLDMAN SACHS & CO. LLC ,2007,,9008488.0,,,,,-19371.0,1366357.0,9390745.0,531717612.0,,108235249.0,,252749116.0,,,58788670.0,911294313151663.0,12500000.0,,509250736.0,,
42352,GOLDMAN SACHS & CO. LLC ,2008,,9981939.0,,,,,54029.0,1560215.0,12441845.0,27727406.0,20014506.0,179894170.0,,272830264.0,,,75556600.0,20795733.0,18250000.0,,632858770.0,,
42352,GOLDMAN SACHS & CO. LLC ,2010,,,,,,,88.0,474.0,14310.0,62169.0,14429.0,121559.0,,184198.0,,,40201.0,15276.0,18250.0,438306.0,463755.0,,
42352,GOLDMAN SACHS & CO. LLC ,2011,,,,,,,122.0,866.0,18450.0,68764.0,12132.0,135802.0,,218756.0,,,49879.0,10016.0,21500.0,496215.0,527001.0,,
42352,GOLDMAN SACHS & CO. LLC ,2013,,5452.0,,,,,,,8073.0,31850.0,11016.0,134687.0,,231942.0,,,37057.0,19516.0,21500.0,471520.0,,,
42352,GOLDMAN SACHS & CO. LLC ,2014,,6715.0,,,,,3.0,25.0,19793.0,120685.0,8556.0,139602.0,,134784.0,,,48822.0,33939.0,21500.0,493128.0,524526.0,,
42352,GOLDMAN SACHS & CO. LLC ,2015,,9572.0,,,,,-1.0,31.0,22755.0,45566.0,15458.0,149046.0,,187061.0,,,44151.0,8236.0,18500.0,465699.0,477076.0,,
42352,GOLDMAN SACHS & CO. LLC ,2016,,11537.0,,,,,,25.0,,55530.0,12049.0,148850.0,,157367.0,,,45003.0,6369.0,18500.0,444847.0,,,
42352,GOLDMAN SACHS & CO. LLC ,2017,,8619.0,,,,,14.0,25.0,23204.0,54645.0,4244.0,138363.0,,137994.0,,,43406.0,7244.0,18500.0,413040.0,424649.0,,
42352,GOLDMAN SACHS & CO. LLC ,2018,,6481.0,,,,,18.0,,,57940.0,18082.0,125704.0,,168580.0,,,34685.0,25401.0,18500.0,442913.0,,,
42352,GOLDMAN SACHS & CO. LLC ,2019,,,,,,,,25.0,,34780.0,10661.0,128471.0,,171265.0,,,27419.0,21796.0,18500.0,406148.0,416665.0,10517.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2002,,,,,,24548525.0,,,,20049567.0,8241727.0,5212726.0,,83688781.0,,,,13674896.0,1382094.0,,,6583341.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2003,,,,,,37615661.0,,,,22005378.0,4884267.0,4476196.0,,90359900.0,,,,15532764.0,993494.0,,,4504012.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2004,,,,,,54005950.0,,,,20537260.0,9575200.0,9760089.0,,118295964.0,,,,25130128.0,2493400.0,,,4574914.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2005,,,,,,69507257.0,,,,26241558.0,6729058.0,15279336.0,,155716131.0,,,,16887411.0,2973400.0,248468415.0,253278304.0,4809889.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2006,15529289.0,,7544866.0,2.0,,63531550.0,,,,47748425.0,2461415.0,12661530.0,,189865767.0,,,,,4273400.0,255495717.0,264444724.0,4675607.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2007,,,,,,,,,,45993330.0,12239214.0,2758532.746986,,223036518.0,,,34599449.0,,5223400.0,306258803.0,317870722.0,6388519.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2008,,,,,,,,,,52246449.0,19528871.0,13981908.0,,404482146.0,,,33320616.0,,6723400.0,501757063.0,519780630.0,11300167.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2009,,,,,,,,,,51841820.0,11259481.0,11215313.0,,1.3942211214293432e+16,,,20666438.0,,6723400.0,229275201.0,244413278.0,8414677.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2010,,,,,,,,,,69223924.0,20033923.0,11730532.0,,1.1232474511749108e+16,,,29184920.0,,6723400.0,232082804.0,249693066.0,10886862.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2012,,,,,,,,,,35912581.0,5747257.0,13221980.0,,1.293745464156926e+16,,,25202486.0,,6723400.0,225973793.0,244079398.0,11382205.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2013,,,,,,,,,,34638.0,4864.0,15577.0,,12720842907.0,,,22281.0,,6723.0,221339.0,240046.0,11984.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2014,,,,,,,,,,37342.0,9794.0,17987.0,,143839.0,,,23453.0,,6723.0,208844.0,227451.0,11884.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2015,,,14528.0,,,,,,,26036.0,8702.0,19821.0,,7058233496.0,,,18712.0,,6723.0,155023.0,173638.0,11892.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2016,,,,-14521.0,,,,,,19128.0,7438.0,17713.0,,6385732713.0,,,18508.0,,6723.0,142370.0,160325.0,11232.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2017,,,14575.0,,,,,,,13584.0,4627.0,9121.0,,77032.0,,,16040.0,,6723.0,118799.0,136083.0,10561.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2018,,,,-15124.0,,,,,,2405.0,4096.0,11730.0,,4185413979.0,,,17699.0,,6723.0,90884.0,108091.0,10484.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2019,,,,-152884449.0,,,,,,8699.0,3913.0,3758.0,,51856.0,,,9071.0,,6723.0,73384.0,90946.0,10839.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2020,,,,-15388.0,,,,,,6844.0,2099.0,1890.0,,43554.0,,,12079.0,,,68805.0,80071.0,11266.0,
68136,MORGAN STANLEY & CO. LLC ,2002,1037869.0,3974702.0,260922.0,25.0,,24850461.0,,,,52995315.0,11389786.0,84526609.0,,132481864.0,4000603.0,,,,4145250.0,,267625461.0,4261550.0,
68136,MORGAN STANLEY & CO. LLC ,2003,1017326.0,2854143.0,260922.0,25.0,,20017840.0,,,,56905895.0,7166286.0,70709350.0,,145416571.0,4403607.0,,,,4145250.0,,,4664554.0,
68136,MORGAN STANLEY & CO. LLC ,2004,1181238.0,4275201.0,260922.0,25.0,,22479781.0,,,,92262769.0,18602811.0,73072886.0,,158617447.0,4608370.0,,,,4049500.0,,310888.679,4869317.0,
68136,MORGAN STANLEY & CO. LLC ,2005,2037285.0,3448540.0,713913.0,25.0,,24354707.0,,,,109864422.0,28089836.0,91272451.0,,225610664.0,4517250.0,,,,4806500.0,,412415148.0,5231188.0,
68136,MORGAN STANLEY & CO. LLC ,2006,2326100.0,4209586.0,738237.0,25.0,,29937682.0,,,,132605437.0,18347172.0,102181844.0,,306851458.0,4494633.0,,,,6306500.0,,501699713.0,5232895.0,
68136,MORGAN STANLEY & CO. LLC ,2007,1791073.0,5312744.0,738237.0,25.0,,39516545.0,,,,198491315.0,25582214.0,140346213.0,,329750557.0,4781226.0,,,,6225000.0,,583404825.0,5519488.0,
68136,MORGAN STANLEY & CO. LLC ,2008,1789343.0,5700061.0,,252507963.0,,19591938.0,,,,204312647.0,31061934.0,197348577.0,,280388005.0,3997578.0,,,,5.8782292710275e+16,,,6297523.0,
