,CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
131,57106,"SOMERSET SECURITIES, INC.",811539,4600 S KELLY AVE,SUITE 4880,PORTLAND,OR,97239
132,57210,LADENBURG THALMANN & CO. INC.,817230,277 PARK AVENUE,26TH FLOOR,NEW YORK,NY,10172
133,58056,DEUTSCHE BANK SECURITIES INC.,817822,60 WALL STREET,NYC60-3712,NEW YORK,NY,10005
134,58124,LAZARD FRERES & CO. LLC,802595,30 ROCKEFELLER PLAZA, ,NEW YORK,NY,10020-5900
135,58290,"M. H. LEBLANG, INC.",812730,EVERSPIRE PLAZA,"6900 S. 900 E., SUITE 200",MIDVALE,UT,84047
136,58798,"DAVID LERNER ASSOCIATES, INC.",820746,477 JERICHO TPKE,P.O.BOX 9006,SYOSSET,NY,11791-9006
137,58833,"W&S BROKERAGE SERVICES, INC.",824674,400 BROADWAY,MS-60,CINCINNATI,OH,45202
138,59546,"LINCOLN INVESTMENT PLANNING, LLC",814354,601 OFFICE CENTER DRIVE,SUITE 100-MAILROOM,FORT WASHINGTON,PA,19034
139,59970,LINCOLN FINANCIAL ADVISORS CORPORATION,814685,P.O. BOX 2239, ,FORT WAYNE,IN,46801-2239
140,60364,LORD ABBETT DISTRIBUTOR LLC,800216,90 HUDSON STREET, ,JERSEY CITY,NJ,07302-3973
141,61369,BERNARD L. MADOFF INVESTMENT SECURITIES LLC,808132,885 THIRD AVENUE, ,NEW YORK,NY,10022
142,61916,JOHN HANCOCK DISTRIBUTORS LLC,815826,200 BERKELEY STREET, ,BOSTON,MA,02116
143,62011,"HORACE MANN INVESTORS, INC.",806082,ONE HORACE MANN PLAZA, ,SPRINGFIELD,IL,62715-0001
144,62061,"V. M. MANNING & CO., INC.",808680,P.O. BOX 10389, ,GREENVILLE,SC,29603
145,62674,"WORLD FIRST FINANCIAL SERVICES, INC.",820392,246 5TH AVENUE,SUITE 313,NEW YORK,NY,10001
146,63520,"MAYHILL AGENCY, LLC",816774,17 PARK MEADOW LANE, ,WEST LONG BRANCH,NJ,07764
147,63598,FELTL & COMPANY,818435,"10900 WAYZATA BOULEVARD, SUITE 200",800 LASALLE AVENUE,MINNETONKA,MN,55305
148,64142,"GEORGE MCKELVEY CO., INC.",817597,P.O. BOX 560, ,ALLENWOOD,NJ,08720
149,64241,SCOTIA CAPITAL (USA) INC.,803716,250 VESEY STREET,165 BROADWAY,NEW YORK,NY,10281
150,65073,ICAP CORPORATES LLC,812726,200 VESEY STREET,6TH FLOOR,NEW YORK,NY,10285
151,65106,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",807221,222 BROADWAY,NY3-222-12-05,NEW YORK,NY,10038
152,66748,MINNESOTA LIFE INSURANCE CO /BD,814113,400 N ROBERT ST, ,ST PAUL,MN,55101
153,67037,UBS ASSET MANAGEMENT (US) INC.,821901,1285 AVENUE OF THE AMERICAS,12TH FLOOR,NEW YORK,NY,10019
154,67678,"MONROE FINANCIAL PARTNERS, INC.",814045,100 N RIVERSIDE PLAZA SUITE 1620,2ND FLOOR,CHICAGO,IL,60606
155,68136,MORGAN STANLEY & CO. LLC,815869,"100 SOUTH CHARLES STREET, 4TH FLOOR",C/O NORTH AMERICAN REGISTRATION,BALTIMORE,MD,21201
156,69596,"ALLIANZ LIFE FINANCIAL SERVICES, LLC",813630,P O BOX 1117, ,MINNEAPOLIS,MN,55440-1117
157,70517,NATIONAL SECURITIES CORPORATION,800164,5000 T-REX AVENUE,SUITE 300,BOCA RATON,FL,33431
158,71002,"MARTIN NELSON & CO., INC.",800831,1500 WESTLAKE AVE N. STE 200,SUITE 1335,SEATTLE,WA,98109-3031
