,CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
947,882678,"RENAISSANCE CAPITAL INVESTMENTS, INC.",844444,165 MASON STREET,SUITE 100,GREENWICH,CT,06830
948,882928,"TIAA-CREF INDIVIDUAL & INSTITUTIONAL SERVICES, LLC",844454,8500 ANDREW CARNEGIE BOULEVARD,MAIL STOP SSC/C2/08,CHARLOTTE,NC,28262-8500
949,883126,"AMERICAN HERITAGE SECURITIES, INC.",844466,50 S MAIN ST,SUITE 1210,AKRON,OH,44308-1831
950,883312,TRADESPOT MARKETS INC.,844483,5400 S UNIVERSITY DRIVE,STE 206 A,DAVIE,FL,33328
951,883459,"NEWPORT GROUP SECURITIES, INC.",844508,300 PRIMERA BLVD.,SUITE 200,LAKE MARY,FL,32746
952,883463,"GLOBALINK SECURITIES, INC.",844509,3452 EAST FOOTHILL BOULEVARD,SUITE 1040,PASADENA,CA,91107
953,883499,ORIENTAL FINANCIAL SERVICES LLC,844516,P.O. BOX 195119, ,SAN JUAN,PR,00919-5119
954,883634,"CONTINENTAL INVESTORS SERVICES, INC.",844523,P.O. BOX 888, ,LONGVIEW,WA,98632-7552
955,883923,"COUNTRY CLUB FINANCIAL SERVICES, INC.",844574,P.O. BOX 410889, ,KANSAS CITY,MO,64141
956,884345,PAYDEN & RYGEL DISTRIBUTORS,844622,333 SOUTH GRAND AVE.,39TH FLOOR,LOS ANGELES,CA,90071-1536
957,884846,ANDREW GARRETT INC.,844659,52 VANDERBILT AVE,STE 510,NEW YORK,NY,10017
958,884857,"SHIELDS & COMPANY, INC.",844663,890 WINTER STREET,SUITE 160,WALTHAM,MA,02451
959,884982,CHIRON SECURITIES LLC,844665,1301 MCKINNEY SUITE 2800,SUITE 1140,HOUSTON,TX,77010
960,885157,"FORESIDE INVESTMENT SERVICES, LLC",844681,THREE CANAL PLAZA,SUITE 100,PORTLAND,ME,04101
961,885331,"TULLY & HOLLAND, INCORPORATED",844691,535 BOYLSTON STREET,7TH FLOOR,BOSTON,MA,02116
962,885360,"INVEX, LLC.",844695,2 ALHAMBRA PLAZA,SUITE PH II,CORAL GABLES,FL,33134
963,885488,"INTEGRIS SECURITIES, LLC",844710,"1099 18TH STREET, SUITE 2750",SUITE 320,DENVER,CO,80202
964,885730,"GUGGENHEIM INVESTOR SERVICES, LLC",844742,330 MADISON AVENUE,11TH FLOOR,NEW YORK,NY,10017
965,885750,"STATE STREET GLOBAL ADVISORS FUNDS DISTRIBUTORS, LLC",844744,PO BOX 5501,"ONE LINCOLN STREET, 32ND FLOOR",BOSTON,MA,02210-5501
966,886076,DSIL INVESTMENT SERVICES LLC,844763,180 MAIDEN LANE,SUITE 1302,NEW YORK,NY,10038-4925
967,886116,"MORGAN STANLEY DISTRIBUTION, INC.",844766,100 SOUTH CHARLES STREET,4TH FLOOR,BALTIMORE,MD,21201
968,886118,ABG SUNDAL COLLIER INC.,844768,850 THIRD AVENUE, ,NEW YORK,NY,10022
969,886156,"MERRION SECURITIES, LLC",844770,210 ELMER STREET, ,WESTFIELD,NJ,07090
970,886246,HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,844779,"436 SEVENTH AVENUE, 27TH FLOOR", ,PITTSBURGH,PA,15219
971,887084,"NANCY BARRON & ASSOCIATES, INC.",844803,150 GRAND BOULEVARD, ,LEXINGTON,KY,40507
972,887133,"BROWN, GIBBONS, LANG & COMPANY SECURITIES, INC.",844816,1375 E. 9TH STREET,SUITE 2500,CLEVELAND,OH,44114
973,887602,"BARRETT & COMPANY, INC.",844856,THE WILCOX BUILDING,42 WEYBOSSET STREET,PROVIDENCE,RI,02903
974,887739,GREIF & CO.,844862,633 WEST FIFTH STREET,65TH FLOOR,LOS ANGELES,CA,90071-2005
975,887740,"FIMCO SECURITIES GROUP, INC.",844863,929 W. SHAKER CIRCLE, ,MEQUON,WI,53092
976,887748,"FSB PREMIER WEALTH MANAGEMENT, INC.",844865,131 TOWER PARK DRIVE SUITE 115,SUITE 615,WATERLOO,IA,50701
977,887898,"MONEX SECURITIES, INC.",844874,"440 LOUISIANA STREET, SUITE 1240", ,HOUSTON,TX,77002
978,888528,TFS DERIVATIVES LLC,844903,32 OLD SLIP 28TH FLOOR, ,NEW YORK,NY,10005
979,888530,"PMA SECURITIES, LLC",844905,2135 CITYGATE LANE,7TH FLOOR,NAPERVILLE,IL,60563
980,888551,"REGIONAL BROKERS, INC.",844907,2370 STATE RT 70,SUITE 105,CHERRY HILL,NJ,08002
981,889493,"D & D SECURITIES, INC.",844989,703 NORTH JEROME AVENUE,# 42 C,MARGATE CITY,NJ,08402
982,889528,"BRIGHT TRADING, LLC",844990,4850 HARRISON DRIVE, ,LAS VEGAS,NV,89121
983,889537,"AVALON SECURITIES, LTD.",844993,276 WATER STREET,SUITE 650,NEW YORK,NY,10038
984,889756,"REGISTER FINANCIAL ASSOCIATES, INC.",845012,3500 LENOX ROAD,SUITE 1700,ATLANTA,GA,30326
985,890203,MIRAE ASSET SECURITIES (USA) INC.,845034,810 SEVENTH AVENUE,37TH FLOOR,NEW YORK,NY,10019
986,890383,"BANORTE-IXE SECURITIES INTERNATIONAL, LTD.",845056,5075 WESTHEIMER,SUITE 975W,HOUSTON,TX,77056
987,890599,"NH INVESTMENT & SECURITIES AMERICA, INC.",845081,120 WEST 45TH STREET,SUITE 2402,NEW YORK,NY,10036
988,891025,"CARREDEN GROUP, INC.",845109,1100 MORAGA WAY,SUITE 209,MORAGA,CA,94556
989,891055,HILLTOP SECURITIES INC.,845123,1201 ELM ST,SUITE 3500,DALLAS,TX,75270-2180
990,891197,AUERBACH GRAYSON & COMPANY LLC,845136,25W 45TH STREET SUITE 16, ,NEW YORK,NY,10036
991,891517,INTL FILLMORE ADVISORS LLC,845150,"1441 W. UTE BLVD,",SUITE 280,PARK CITY,UT,84098
992,891529,SUTTER SECURITIES INCORPORATED,845158,6 VENTURE,SUITE 395,IRVINE,CA,92618
993,891707,RIEDL FIRST SECURITIES COMPANY OF KANSAS,845164,"1841 N. ROCK ROAD COURT, SUITE 400", ,WICHITA,KS,67206-4213
994,891873,"PLURIS CAPITAL GROUP, INC.",845179,204 E. 3RD STREET,SUITE 1515,BROOKLYN,NY,11218
995,891943,"CENTAURUS FINANCIAL, INC.",845185,2300 E. KATELLA AVENUE,SUITE #200,ANAHEIM,CA,92806
996,892705,"BLACK OAK SECURITIES, INC.",845219,"707 CARROLL STREET, SUITE C",P.O. BOX 590,PAWNEE,IL,62558
997,892711,"CLARKSONS PLATOU SECURITIES, INC.",845221,280 PARK AVENUE,21ST FLOOR EAST,NEW YORK,NY,10017
998,892897,"WORLD CHOICE SECURITIES, INC.",845235,7730 OLENTANGY RIVER ROAD,SUITE 200,COLUMBUS,OH,43235
999,893248,"LIVERMORE TRADING GROUP, INC.",845248,C/O ACCOUNTING & COMPLIANCE INTERNATIONA,"40 WALL STREET, 17TH FLOOR",NEW YORK,NY,10005
1000,893951,"LANTERN INVESTMENTS, INC.",845285,35 PINELAWN ROAD,SUITE 101E,MELVILLE,NY,11747
1001,894060,"INTEGRITY INVESTMENTS, INC.",845302,221 PENSACOLA ROAD, ,VENICE,FL,34285
1002,894062,JHW FINANCIAL SERVICES INC.,845304,4340 REDWOOD HIGHWAY,SUITE B-75,SAN RAFAEL,CA,94903
1003,894092,NATIONWIDE PLANNING ASSOCIATES INC.,845310,115 WEST CENTURY ROAD,SUITE 360,PARAMUS,NJ,07652
1004,894136,"MFS FUND DISTRIBUTORS, INC.",845321,111 HUNTINGTON AVENUE, ,BOSTON,MA,02199
1005,895109,FINANCORP GROUP INTERNATIONAL CORPORATION,845367,2400 E. COMMERCIAL BLVD.,SUITE 825,FT. LAUDERDALE,FL,33308
1006,895172,"CCO CAPITAL, LLC",845375,2398 EAST CAMELBACK RD,4TH FLOOR,PHOENIX,AZ,85016
1007,895218,"PORTFOLIO RESOURCES GROUP, INC.",845380,800 BRICKELL AVENUE,SUITE 903,MIAMI,FL,33131
1008,895339,"CARNEGIE, INC.",845389,20 WEST 55TH STREET, ,NEW YORK,NY,10019-5373
1009,895502,"RBC CAPITAL MARKETS, LLC",845411,60 S. 6TH STREET,14TH FLOOR,MINNEAPOLIS,MN,55402-4400
1010,896126,"WALL STREET STRATEGIES, INC.",845459,362 NORTH MAIN STREET, ,HURON,OH,44839
1011,896132,"VALMARK SECURITIES, INC.",845463,130 SPRINGSIDE DRIVE,SUITE 300,AKRON,OH,44333-2431
1012,896339,FORESIDE FUNDS DISTRIBUTORS LLC,845467,899 CASSATT ROAD,"400 BERWYN PARK, SUITE 110",BERWYN,PA,19312
1013,898005,BODINGTON & COMPANY,845490,50 CALIFORNIA ST, ,SAN FRANCISCO,CA,94111-0050
1014,898635,"DIVERSIFIED RESOURCES, LLC",845497,70 JEFFERSON BLVD., ,WARWICK,RI,02888
1015,898640,"HP SECURITIES, INC.",845502,1500 SW FIRST #910, ,PORTLAND,OR,97201
1016,898928,"HALLIDAY FINANCIAL, LLC",845529,725 GLEN COVE ANUENE, ,GLEN HEAD,NY,11545
1017,898982,"REEF SECURITIES, INC.",845583,"1901 N CENTRAL EXPRESSWAY, SUITE 400", ,RICHARDSON,TX,75080-3558
1018,898992,"PARADIGM EQUITIES, INC.",845593,1216 KENDALE BOULEVARD,PO BOX 2501,EAST LANSING,MI,48826
1019,900895,"KA ASSOCIATES, INC.",845640,1800 AVENUE OF THE STARS,THIRD FLOOR,LOS ANGELES,CA,90067
1020,900903,SHINHAN INVESTMENT AMERICA INC.,845648,1325 AVENUE OF THE AMERICAS STE. 2002A, ,NEW YORK,NY,10019
1021,900905,SWORD SECURITIES LLC,845650,90 NASSAU ST.,5TH FLOOR,PRINCETON,NJ,08542
1022,902898,"BALLEW INVESTMENTS, INC.",845660,P.O. BOX 14888, ,JACKSON,MS,39236-4888
1023,902909,TRANSAMERICA INVESTORS SECURITIES CORPORATION,845671,440 MAMARONECK AVENUE, ,HARRISON,NY,10528
1024,902913,"FAR HILLS GROUP, LLC.",845675,"747 3RD AVENUE, 30TH FLOOR", ,NEW YORK,NY,10017
1025,902922,"CGA SECURITIES, LLC",845684,9475 DEERECO ROAD,SUITE 300,TIMONIUM,MD,21093
1026,905911,"VECTORGLOBAL WMG, INC.",845715,1001 BRICKELL BAY DRIVE,SUITE 1900,MIAMI,FL,33131
1027,905914,"COMMONWEALTH FINANCIAL GROUP, INC.",845718,1233 HADDONFIELD-BERLIN RD.,SUITE 10,VOORHEES,NJ,08043
1028,907939,"NORTHEAST CAPITAL & ADVISORY, INC.",846003,111 PARTRIDGE RUN,FLOOR 2,SCHENECTADY,NY,12309
1029,907944,"FIRST HEARTLAND CAPITAL, INC.",846008,4101 LAKE ST. LOUIS BLVD, ,LAKE ST. LOUIS,MO,63367
1030,907959,"GELBAND & CO., INC.",846023,750 THIRD AVENUE,21ST FLOOR,NEW YORK,NY,10017
1031,907993,"FORTREND SECURITIES, INC.",846057,"LEVEL 50, 525 COLLINS STREET", ,"MELBOURNE, VIC",NV,3000
1032,908001,"ACCESS FINANCIAL GROUP, INC.",846065,118 NORTH CLINTON ST-SUITE 450, ,CHICAGO,IL,60661
1033,908124,"LONG ISLAND FINANCIAL GROUP, INC.",846138,2 WOODCREST DR, ,ROSLYN,NY,11576
1034,909841,"FIRST ALLIED SECURITIES, INC.",846167,655 WEST BROADWAY 12TH FL, ,SAN DIEGO,CA,92101
1035,909872,WHITE ROCK ASSOCIATES LLC,846198,"5001 SPRING VALLEY ROAD, SUITE 850W", ,DALLAS,TX,75244
1036,909876,JNK SECURITIES CORP.,846202,6 W. 18TH STREET,3RD FLOOR,NEW YORK,NY,10011
1037,910783,"HARVESTONS SECURITIES, INC.",846293,8301 E. PRENTICE AVE.,SUITE 305,GREENWOOD VILLAGE,CO,80111
1038,910789,"LIGHTPATH CAPITAL, INC",846299,1453 THIRD STREET PROMENADE,SUITE 315,LOS ANGELES,CA,90401
1039,910815,"NATIXIS DISTRIBUTION, L.P.",846325,888 BOYLSTON STREET,SUITE 800,BOSTON,MA,02199-8197
1040,911028,THE STRATEGIC ALLIANCE CORPORATION,846341,POST OFFICE BOX 1517, ,ALBEMARLE,NC,28002
1041,911593,"ASIA PACIFIC FINANCIAL MANAGEMENT GROUP, INC.",846412,145 ASPINALL AVE., ,HAGATNA, ,96910
1042,911599,ABACUS INTERNATIONAL CAPITAL CORP.,846418,"6 BOWERY, 4TH FLOOR", ,NEW YORK,NY,10013
1043,911824,"GBS RETIREMENT SERVICES, INC.",846433,2850 GOLF ROAD,8TH FLOOR,ROLLING MEADOWS,IL,60008
1044,912650,"VOYA FINANCIAL PARTNERS, LLC",846451,"ONE ORANGE WAY, C1S", ,WINDSOR,CT,06095
1045,912678,"AMERIVET SECURITIES, INC.",846478,"1155 AVENUE OF THE AMERICAS, 14TH FLOOR",PARTICK HENRY VILLAGE,NEW YORK,NY,10036
1046,913465,"ABACUS INVESTMENTS, INC.",846571,S33 W35676 MEADOW TRAIL,WISCONSIN AVE,DOUSMAN,WI,53118
1047,913469,"DRESNER INVESTMENT SERVICES, INC.",846575,10 S. LASALLE  SUITE 2170, ,CHICAGO,IL,60603
1048,913473,TRANSACTIONDRIVERS LLC,846579,1000 MANNING AVENUE,SUITE 1404,LOS ANGELES,CA,90024
1049,914405,"LOEWEN, ONDAATJE, MCCUTCHEON USA, LLC",846604,175 STRAFFORD AVENUE,SUITE ONE - #109,WAYNE,PA,19087
1050,914870,"BROOKWOOD SECURITIES PARTNERS, LLC",846627,138 CONANT STREET, ,BEVERLY,MA,01915
1051,914873,"ENTORO SECURITIES, LLC",846630,333 WEST LOOP NORTH,SUITE 333,HOUSTON,TX,77024
1052,914898,NYLIFE DISTRIBUTORS LLC,846655,30 HUDSON STREET,22ND FLOOR,JERSEY CITY,NJ,07302
1053,914904,"INFINEX INVESTMENTS, INC.",846661,538 PRESTON AVENUE, ,MERIDEN,CT,06450-4858
1054,914911,SIA SECURITIES CORP.,846668,3300 IDS CENTER,80 S. 8TH STREET,MINNEAPOLIS,MN,55402
1055,914912,"SECURITY CAPITAL BROKERAGE, INC.",846669,"260 PEACHTREE STREET, NW",SUITE 2200,ATLANTA,GA,30303
1056,914920,"SCA DEVELOPMENT, LLC",846677,569 BROOKWOOD VILLAGE,SUITE 901,BIRMINGHAM,AL,35209
1057,915224,METRIC FINANCIAL INC.,846684,1180 WEST PEACHTREE SUITE 1910,SUITE 2600,ATLANTA,GA,30309
1058,916664,CAHN CAPITAL CORP.,846726,820 SECOND AVENUE,13C,NEW YORK,NY,10017
1059,916681,"THE WINNING EDGE FINANCIAL GROUP, INC.",846743,75 MADISON AVE., ,CLIFTON,NJ,07011-2716
1060,916923,"INVESTMENT DISTRIBUTORS, INC.",846802,2801 HIGHWAY 280 SOUTH, ,BIRMINGHAM,AL,35223
1061,917358,ICBC STANDARD SECURITIES INC.,846816,520 MADISON AVENUE,28TH FLOOR,NEW YORK,NY,10022
1062,917363,MONTROSE SECURITIES INTERNATIONAL,846821,"1 HARBOR DRIVE, SUITE 300", ,SAUSALITO,CA,94965
1063,917378,"MAFG RIA SERVICES, INC.",846836,102 GAITHER DRIVE,SUITE 5,MT. LAUREL,NJ,08054
1064,917379,DBS VICKERS SECURITIES (USA) INC.,846837,777 THIRD AVENUE,SUITE 26A,NEW YORK,NY,10017
1065,917386,"PURSHE KAPLAN STERLING INVESTMENTS, INC.",846844,80 STATE STREET, ,ALBANY,NY,12207
1066,918185,"GLOBAL FINANCIAL SERVICES, L.L.C.",846866,1330 POST OAK BLVD,STE 2100,HOUSTON,TX,77056-3019
1067,918189,"FAIRVIEW SECURITIES, INC.",846868,154 LONG LOTS ROAD,SUITE 12,WESTPORT,CT,06880
1068,918632,PHILLIPS & COMPANY SECURITIES INC.,846896,521 SW 11TH,SUITE 200,PORTLAND,OR,97205
1069,919447,"CASCADE INVESTMENT GROUP, INC.",846943,90 S. CASCADE AVENUE,SUITE 1250,COLORADO SPRINGS,CO,80903
1070,919478,"MGI FUNDS DISTRIBUTORS, LLC",846960,899 CASSATT ROAD,"400 BERWYN PARK, SUITE 110",BERWYN,PA,19312
1071,919480,STONINGTON CORPORATION,846961,250 PARK AVENUE,SUITE 700,NEW YORK,NY,10177
1072,920062,HEALTHCARE COMMUNITY SECURITIES CORPORATION,846981,ONE EMPIRE DRIVE, ,RENSSELAER,NY,12144
1073,920063,"HAMILTON CAVANAUGH INVESTMENT BROKERS, INC.",846982,661 NORTH BROADWAY, ,WHITE PLAINS,NY,10603
1074,920073,GATEWAY FINANCIAL AGENCY CORPORATION,846992,1576 NW PINE CREEK AVENUE, ,ARCADIA,FL,34266
1075,920081,STORMHARBOUR SECURITIES LP,846999,575 FIFTH AVENUE,14TH FLOOR,NEW YORK,NY,10017
1076,920097,"UNIVEST SECURITIES, LLC",847006,3687 MEADOW LANE,3RD FLOOR,NORTH BERGEN,NJ,07047
1077,920300,PRIME DEALER SERVICES CORP.,847025,NORTH AMERICAN REGISTRATION,"100 SOUTH CHARLES STREET, 4TH FLOOR",BALTIMORE,MD,21201
1078,920301,AMERA SECURITIES LLC,847026,630 FREEDOM BUSINESS CENTER,SUITE 300,KING OF PRUSSIA,PA,19406
1079,920417,"SUSQUEHANNA SECURITIES, LLC",847034,401 CITY AVE STE 220, ,BALA CYNWYD,PA,19004-1122
1080,920788,"PERFORMANCE TRUST CAPITAL PARTNERS, LLC",847035,500 W. MADISON,SUITE 450,CHICAGO,IL,60661
1081,920789,"JBS LIBERTY SECURITIES, INC.",847036,708 MCLAIN ROAD,SUITE 112,KANNAPOLIS,NC,28083
1082,920792,SPROTT GLOBAL RESOURCE INVESTMENTS LTD,847039,1910 PALOMAR POINT WAY,SUITE 200,CARLSBAD,CA,92008
1083,920807,"U.S. STERLING SECURITIES, INC.",847052,1393 VETERANS MEMORIAL HIGHWAY UNIT 412N, ,HAUPPAUGE,NY,11788
1084,920967,MARINER FINANCIAL GROUP,847067,9601 KATY FREEWAY,SUITE 400,HOUSTON,TX,77024
1085,920974,"BEEKMAN SECURITIES, INC.",847069,420 LEXINGTON AVENUE,SUITE 1402,NEW YORK,NY,10170
1086,921047,"BENGUR BRYAN & CO., INC.",847072,509 SOUTH EXETER STREET,SUITE 210,BALTIMORE,MD,21202
1087,921107,"CODA MARKETS, INC.",847077,2624 PATRIOT BOULEVARD,SUITE 210,GLENVIEW,IL,60026
1088,921153,"COVIEW CAPITAL, INC.",847081,780 THIRD AVENUE,SUITE 3104,NEW YORK,NY,10017
1089,921271,"VOYA AMERICA EQUITIES, INC.",847089,ONE ORANGE WAY,ATTENTION:COMPLIANCE - C2N,WINDSOR,CT,06095
1090,921452,WNC CAPITAL CORPORATION,847101,17782 SKYPARK CIRCLE, ,IRVINE,CA,92614-6404
1091,921545,"QUIET LIGHT SECURITIES, LLC",847114,141 W. JACKSON BLVD,SUITE 2020A,CHICAGO,IL,60604
1092,922104,"MFR SECURITIES, INC.",847186,630 THIRD AVENUE,SUITE 1203,NEW YORK,NY,10017
1093,922116,MACQUARIE CAPITAL (USA) INC.,847198,125 WEST 55TH STREET,LEVEL 22,NEW YORK,NY,10019
1094,922122,"LENOX FINANCIAL SERVICES, INC.",847204,322 ALANA DRIVE, ,NEW LENOX,IL,60451
1095,922631,BRITEHORN SECURITIES,847217,"1888 SHERMAN STREET, SUITE 770",770,DENVER,CO,80203
1096,922783,"MONUMENT GROUP, INC.",847248,500 BOYLSTON STREET,SUITE 1150,BOSTON,MA,02116
1097,922792,INTERACTIVE BROKERS LLC,847257,ONE PICKWICK PLAZA, ,GREENWICH,CT,06830
1098,923189,PICTET OVERSEAS INC.,847285,1000 DE LA GAUCHETIERE WEST,SUITE 3100,"MONTREAL, QC",A8,H3B 4W5
1099,923190,"CAROLINA MUNICIPAL SECURITIES, INC.",847286,2228 WHEAT STREET,SUITE 720,COLUMBIA,SC,29205
1100,923309,CELADON FINANCIAL GROUP LLC,847288,19 CENTER STREET, ,CHATHAM,NJ,07928-2599
1101,923458,"MUTUAL OF OMAHA INVESTOR SERVICES, INC.",847290,3300 MUTUAL OF OMAHA PLAZA, ,OMAHA,NE,68175-1020
1102,924700,"GREAT AMERICAN ADVISORS, INC.",847309,"GREAT AMERICAN INSURANCE TOWER, 14-N",301 E. FOURTH STREET,CINCINNATI,OH,45202
1103,924761,"ASCENSUS BROKER DEALER SERVICES, LLC",847312,95 WELLS AVENUE,SUITE 160,NEWTON,MA,02459
1104,925606,"ALIGHT FINANCIAL SOLUTIONS, LLC",847344,4 OVERLOOK POINT, ,LINCOLNSHIRE,IL,60069
1105,925633,"EBH SECURITIES, INC.",847352,6525 E. 82ND ST  SUITE 209, ,INDIANAPOLIS,IN,46250
1106,926174,"ADVISER DEALER SERVICES, INC.",847374,P.O. BOX 7177, ,DUBLIN,OH,43017-9767
1107,926388,"ANZ SECURITIES, INC.",847390,277 PARK AVENUE,FLOOR 31,NEW YORK,NY,10172-0003
1108,926391,"DAI SECURITIES, LLC",847393,2200 CENTURY PARKWAY NE,SUITE 435,ATLANTA,GA,30345
1109,926540,"PRIVATE PORTFOLIO, INC.",847421,7534 LA JOLLA BLVD, ,LA JOLLA,CA,92037-4328
1110,926544,PERSHING ADVISOR SOLUTIONS LLC,847425,ONE PERSHING PLAZA,10TH FLOOR,JERSEY CITY,NJ,07399
1111,927337,"WOLVERINE TRADING, LLC",847484,175 W JACKSON,SUITE 200,CHICAGO,IL,60604
1112,927671,"CARDINAL INVESTMENTS, INC.",847493,1600 NORTH BELT WEST, ,BELLEVILLE,IL,62226-5923
1113,927676,PLANNER SECURITIES LLC,847498,405 LEXINGTON AVENUE,"7TH FL., SUITE 707",NEW YORK,NY,10174
1114,927677,"ATHENE SECURITIES, LLC",847499,7700 MILLS CIVIC PARKWAY, ,WEST DES MOINES,IA,50266
1115,928744,"NORTHERN SECURITIES, INC.",847547,P.O. BOX 275, ,MEDINA,MN,55340-0275
1116,928873,DUFF & PHELPS SECURITIES LLC,847558,311 S. WACKER DRIVE,SUITE 4200,CHICAGO,IL,60606
1117,928928,"ST. BERNARD FINANCIAL SERVICES, INC.",847566,1609 WEST MAIN ST., ,RUSSELLVILLE,AR,72801
1118,929029,"PACKERLAND BROKERAGE SERVICES, INC.",847572,432 SECURITY BLVD.,SUITE 101,GREEN BAY,WI,54313
1119,929191,"VICTORY CAPITAL SERVICES, INC.",847577,4900 TIEDEMAN ROAD,4TH FLOOR,BROOKLYN,OH,44144
1120,930012,BARINGS SECURITIES LLC,847589,300 S. TRYON STREET,SUITE 2500,CHARLOTTE,NC,28202
1121,930669,"MAY CAPITAL GROUP, L.L.C.",847616,250 WEST 57TH STREET,SUITE 1614,NEW YORK,NY,10107
1122,930933,"THE LEADERS GROUP, INC.",847639,26 W. DRY CREEK CIRCLE,SUITE 800,LITTLETON,CO,80120-4475
1123,930937,"LUCIA SECURITIES, LLC",847643,13520 EVENING CREEK DRIVE,SUITE 300,SAN DIEGO,CA,92128
1124,931371,SANTANDER INVESTMENT SECURITIES INC.,847664,45 EAST 53RD STREET, ,NEW YORK,NY,10022
1125,932233,"INTERNATIONAL CORRESPONDENT TRADING, INC.",847724,ONE UNIVERSITY PLAZA- SUITE 301, ,HACKENSACK,NJ,07601
1126,932517,"MERCER ALLIED COMPANY, L.P.",847739,100 COLISEUM DRIVE, ,COHOES,NY,12047
1127,932536,MID ATLANTIC CLEARING & SETTLEMENT CORPORATION,847758,1251 WATERFRONT PLACE,SUITE 540,PITTSBURGH,PA,15222
1128,932537,"RD CAPITAL GROUP, INC.",847759,MCS PLAZA SUITE 305,255 PONCE DE LEON AVENUE,SAN JUAN,PR,00917-1903
1129,932540,"GROUP ONE TRADING, L.P.",847762,425 S FINANCIAL PLACE,SUITE 3400,CHICAGO,IL,60605
1130,932541,"GLOBAL BROKERAGE SERVICES, INC.",847763,11350 MCCORMICK RD.,EP III SUITE 901,HUNT VALLEY,MD,21031
1131,932690,"DWS DISTRIBUTORS, INC.",847765,875 THIRD AVENUE,27TH FLOOR- MAIL STOP NYC03-2720,NEW YORK,NY,10022
1132,932819,E&J SECURITIES CORP.,847773,C/O ACCOUNTING & COMPLIANCE INTERNATIONA,"40 WALL STREET, 17TH FLOOR",NEW YORK,NY,10005
1133,933048,"CORECAP INVESTMENTS, INC.",847783,27777 FRANKLIN ROAD,SUITE 700,SOUTHFIELD,MI,48034
1134,933067,"COMSTOCK PARTNERS, L.L.C.",847802,2408 ROSCOMARE ROAD, ,LOS ANGELES,CA,90077-1813
1135,933075,"VALDES & MORENO, INC.",847810,6300 N. REVERE DRIVE,SUITE 110,KANSAS CITY,MO,64151
1136,933079,MGO SECURITIES CORP.,847814,24400 CHAGRIN BLVD,SUITE 310,BEACHWOOD,OH,44122
1137,933250,"MV SECURITIES GROUP, INC.",847827,"1001 MCKINNEY, SUITE 1200", ,HOUSTON,TX,77002
1138,933297,"LABRUNERIE FINANCIAL SERVICES, INC.",847830,601 W. NIFONG BLVD,BUILDING 3B``,COLUMBIA,MO,65203
1139,934682,"FREEDOM INVESTMENTS, INC.",847883,375 RARITAN CENTER PARKWAY,SUITE 501,EDISON,NJ,08837
1140,934684,"ADP BROKER-DEALER, INC.",847885,71 HANOVER ROAD,MS - 580,FLORHAM PARK,NJ,07932
1141,934690,"GRIFFIN CAPITAL SECURITIES, LLC",847891,18191 VON KARMAN AVENUE,SUITE 300,IRVINE,CA,92612
1142,935143,"JOSLIN, JEFFREY ALEX",847899,16152 BEACH BLVD.,SUITE 271,HUNTINGTON BEACH,CA,92647-3815
1143,935189,"JOHN JAMES FUTURES GROUP, LTD.",847904,8463 SHERIDAN DRIVE,SUITE 212,WILLIAMSVILLE,NY,14221
1144,935377,KUEHL CAPITAL CORPORATION,847912,14747 CALIFORNIA STREET,SUITE 1,OMAHA,NE,68154
1145,935544,"EATON VANCE DISTRIBUTORS, INC.",847939,TWO INTERNATIONAL PLACE, ,BOSTON,MA,02110
1146,935560,"CEROS FINANCIAL SERVICES, INC.",847955,1445 RESEARCH BOULEVARD,SUITE 530,ROCKVILLE,MD,20850
1147,936475,"RENCAP SECURITIES, INC.",848011,780 THIRD AVENUE,20TH FLOOR,NEW YORK,NY,10017
1148,936854,"VOYA INVESTMENTS DISTRIBUTOR, LLC",848020,ONE ORANGE WAY, ,WINDSOR,CT,06095
1149,936862,"OWL CREEK ASSET MANAGEMENT MARKETING, LLC",848028,640 FIFTH AVENUE,20TH FLOOR,NEW YORK,NY,10019
1150,936949,FINANCIAL SERVICES INTERNATIONAL CORP.,848032,152 3RD AVE SOUTH,SUITE 202,EDMONDS,WA,98020
1151,937809,"KILEY PARTNERS, INC.",848050,16 BEL GIORNO COURT,SUITE 203E,HENDERSON,NV,89011
1152,938397,"BAYSTATE CAPITAL SERVICES, INC.",848054,"330 WHITNEY AVENUE, SUITE 500", ,HOLYOKE,MA,01040
1153,938401,STERLING SMITH CORPORATION,848058,4326A SCOTLAND, ,HOUSTON,TX,77007
1154,938607,"MISCHLER FINANCIAL GROUP, INC.",848067,1111 BAYSIDE DRIVE,SUITE 100,CORONA DEL MAR,CA,92625
1155,938707,AURORA CAPITAL LLC,848069,354 WIDOW GAVITS ROAD,PO BOX 1167,"BRIDGEHAMPTON,",NY,11932-1167
1156,939650,FMN CAPITAL CORPORATION,848082,26041 ACERO, ,MISSION VIEJO,CA,92691
1157,940322,"SPP CAPITAL PARTNERS, LLC",848093,550 FIFTH AVENUE,12TH FLOOR,NEW YORK,NY,10036
1158,940622,"TALCOTT RESOLUTION DISTRIBUTION COMPANY, INC.",848097,1 GRIFFIN ROAD NORTH,LAW DEPARTMENT MAILSTOP S3001,WINDSOR,CT,06095
