ID_RSSD_SUCCESSOR,TRNSFM_CD,DT_TRANS
1075087,Charter Discontinued (Merger or Purchase & Assumption),16
4608703,Charter Discontinued (Merger or Purchase & Assumption),16
455093,Charter Discontinued (Merger or Purchase & Assumption),16
519221,Charter Discontinued (Merger or Purchase & Assumption),16
310727,Charter Discontinued (Merger or Purchase & Assumption),16
375977,Charter Discontinued (Merger or Purchase & Assumption),16
557616,Charter Discontinued (Merger or Purchase & Assumption),16
1857135,"Failure, Government Assistance Provided",16
576710,Charter Discontinued (Merger or Purchase & Assumption),16
1944389,Charter Discontinued (Merger or Purchase & Assumption),16
682611,Charter Discontinued (Merger or Purchase & Assumption),16
505121,Charter Discontinued (Merger or Purchase & Assumption),16
953375,Charter Discontinued (Merger or Purchase & Assumption),16
958585,Charter Discontinued (Merger or Purchase & Assumption),16
278377,Charter Discontinued (Merger or Purchase & Assumption),16
636043,Charter Discontinued (Merger or Purchase & Assumption),16
150893,Charter Discontinued (Merger or Purchase & Assumption),16
919308,Charter Discontinued (Merger or Purchase & Assumption),16
1070448,Charter Discontinued (Merger or Purchase & Assumption),16
101381,Charter Discontinued (Merger or Purchase & Assumption),16
2008019,Charter Discontinued (Merger or Purchase & Assumption),16
575423,Charter Discontinued (Merger or Purchase & Assumption),16
363835,Charter Discontinued (Merger or Purchase & Assumption),16
1199563,Charter Discontinued (Merger or Purchase & Assumption),16
611198,Charter Discontinued (Merger or Purchase & Assumption),16
17147,Charter Discontinued (Merger or Purchase & Assumption),16
1903993,Charter Discontinued (Merger or Purchase & Assumption),16
1208184,Charter Discontinued (Merger or Purchase & Assumption),16
734499,Charter Discontinued (Merger or Purchase & Assumption),16
441274,Charter Discontinued (Merger or Purchase & Assumption),16
1068294,Charter Discontinued (Merger or Purchase & Assumption),16
667195,Charter Discontinued (Merger or Purchase & Assumption),16
831071,Charter Discontinued (Merger or Purchase & Assumption),16
1132654,Charter Discontinued (Merger or Purchase & Assumption),16
1011674,Charter Discontinued (Merger or Purchase & Assumption),16
546656,Charter Discontinued (Merger or Purchase & Assumption),16
1013379,Charter Discontinued (Merger or Purchase & Assumption),16
678753,Charter Discontinued (Merger or Purchase & Assumption),16
625476,Charter Discontinued (Merger or Purchase & Assumption),16
971276,Charter Discontinued (Merger or Purchase & Assumption),16
1109599,Charter Discontinued (Merger or Purchase & Assumption),16
1069497,Charter Discontinued (Merger or Purchase & Assumption),16
22486,Charter Discontinued (Merger or Purchase & Assumption),16
42541,Charter Discontinued (Merger or Purchase & Assumption),16
275590,Charter Discontinued (Merger or Purchase & Assumption),16
63069,Charter Discontinued (Merger or Purchase & Assumption),16
151881,Charter Discontinued (Merger or Purchase & Assumption),16
1080371,Charter Discontinued (Merger or Purchase & Assumption),16
594723,Charter Discontinued (Merger or Purchase & Assumption),16
284378,Charter Discontinued (Merger or Purchase & Assumption),16
913904,Charter Discontinued (Merger or Purchase & Assumption),15
657972,Charter Discontinued (Merger or Purchase & Assumption),15
111317,Charter Discontinued (Merger or Purchase & Assumption),15
642969,Charter Discontinued (Merger or Purchase & Assumption),15
472287,Charter Discontinued (Merger or Purchase & Assumption),15
1111967,Charter Discontinued (Merger or Purchase & Assumption),15
617677,Charter Discontinued (Merger or Purchase & Assumption),15
473275,Charter Discontinued (Merger or Purchase & Assumption),15
161778,Charter Discontinued (Merger or Purchase & Assumption),15
131650,Charter Discontinued (Merger or Purchase & Assumption),15
633248,Charter Discontinued (Merger or Purchase & Assumption),15
117690,Charter Discontinued (Merger or Purchase & Assumption),15
484897,Charter Discontinued (Merger or Purchase & Assumption),15
989253,"Failure, Government Assistance Provided",15
456492,Charter Discontinued (Merger or Purchase & Assumption),15
802110,Charter Discontinued (Merger or Purchase & Assumption),15
456045,Charter Discontinued (Merger or Purchase & Assumption),15
623445,Charter Discontinued (Merger or Purchase & Assumption),15
914255,Charter Discontinued (Merger or Purchase & Assumption),15
306298,Charter Discontinued (Merger or Purchase & Assumption),15
4529330,Charter Discontinued (Merger or Purchase & Assumption),15
1862689,Charter Discontinued (Merger or Purchase & Assumption),15
1130360,Charter Discontinued (Merger or Purchase & Assumption),15
653657,Charter Discontinued (Merger or Purchase & Assumption),15
127073,Charter Discontinued (Merger or Purchase & Assumption),15
364869,Charter Discontinued (Merger or Purchase & Assumption),15
511355,Charter Discontinued (Merger or Purchase & Assumption),15
39475,Charter Discontinued (Merger or Purchase & Assumption),15
290986,Charter Discontinued (Merger or Purchase & Assumption),15
654757,Charter Discontinued (Merger or Purchase & Assumption),15
509950,Charter Discontinued (Merger or Purchase & Assumption),15
374149,Charter Discontinued (Merger or Purchase & Assumption),15
491224,"Failure, Government Assistance Provided",15
274070,Charter Discontinued (Merger or Purchase & Assumption),15
1141786,Charter Discontinued (Merger or Purchase & Assumption),15
3983243,Charter Discontinued (Merger or Purchase & Assumption),15
1165362,"Failure, Government Assistance Provided",15
339401,Charter Discontinued (Merger or Purchase & Assumption),15
577128,Charter Discontinued (Merger or Purchase & Assumption),15
1573332,Charter Discontinued (Merger or Purchase & Assumption),15
2892160,Charter Discontinued (Merger or Purchase & Assumption),15
299671,Charter Discontinued (Merger or Purchase & Assumption),15
1048773,Charter Discontinued (Merger or Purchase & Assumption),15
222147,Charter Discontinued (Merger or Purchase & Assumption),15
446699,Charter Discontinued (Merger or Purchase & Assumption),15
504713,"Failure, Government Assistance Provided",15
876634,Charter Discontinued (Merger or Purchase & Assumption),15
1199705,Charter Discontinued (Merger or Purchase & Assumption),15
341646,Charter Discontinued (Merger or Purchase & Assumption),15
2673211,Charter Discontinued (Merger or Purchase & Assumption),15
603296,Charter Discontinued (Merger or Purchase & Assumption),14
335092,Charter Discontinued (Merger or Purchase & Assumption),14
3989553,Charter Discontinued (Merger or Purchase & Assumption),14
322092,Charter Discontinued (Merger or Purchase & Assumption),14
1079740,Charter Discontinued (Merger or Purchase & Assumption),14
352772,Charter Discontinued (Merger or Purchase & Assumption),14
165628,Charter Discontinued (Merger or Purchase & Assumption),14
2967509,Charter Discontinued (Merger or Purchase & Assumption),14
945259,Charter Discontinued (Merger or Purchase & Assumption),14
53097,Charter Discontinued (Merger or Purchase & Assumption),14
25076,Charter Discontinued (Merger or Purchase & Assumption),14
603670,Charter Discontinued (Merger or Purchase & Assumption),14
511793,Charter Discontinued (Merger or Purchase & Assumption),14
607294,Charter Discontinued (Merger or Purchase & Assumption),14
1659629,Charter Discontinued (Merger or Purchase & Assumption),14
2528553,Charter Discontinued (Merger or Purchase & Assumption),14
265694,Charter Discontinued (Merger or Purchase & Assumption),14
1162549,Charter Discontinued (Merger or Purchase & Assumption),14
1426401,Charter Discontinued (Merger or Purchase & Assumption),14
256553,Charter Discontinued (Merger or Purchase & Assumption),14
606792,Charter Discontinued (Merger or Purchase & Assumption),14
2536017,Charter Discontinued (Merger or Purchase & Assumption),14
736671,Charter Discontinued (Merger or Purchase & Assumption),14
417448,Charter Discontinued (Merger or Purchase & Assumption),14
209595,Charter Discontinued (Merger or Purchase & Assumption),14
794578,Charter Discontinued (Merger or Purchase & Assumption),14
751656,Charter Discontinued (Merger or Purchase & Assumption),14
287904,Charter Discontinued (Merger or Purchase & Assumption),14
624590,Charter Discontinued (Merger or Purchase & Assumption),14
382078,Charter Discontinued (Merger or Purchase & Assumption),14
1094369,Charter Discontinued (Merger or Purchase & Assumption),14
1199648,Charter Discontinued (Merger or Purchase & Assumption),14
978154,Charter Discontinued (Merger or Purchase & Assumption),14
1125272,Charter Discontinued (Merger or Purchase & Assumption),14
414894,Charter Discontinued (Merger or Purchase & Assumption),14
1094828,Charter Discontinued (Merger or Purchase & Assumption),14
679125,Charter Discontinued (Merger or Purchase & Assumption),14
340470,Charter Discontinued (Merger or Purchase & Assumption),14
2949185,Charter Discontinued (Merger or Purchase & Assumption),14
928850,Charter Discontinued (Merger or Purchase & Assumption),14
1195275,Charter Discontinued (Merger or Purchase & Assumption),14
916473,Charter Discontinued (Merger or Purchase & Assumption),14
971678,Charter Discontinued (Merger or Purchase & Assumption),14
940889,Charter Discontinued (Merger or Purchase & Assumption),14
4893,Charter Discontinued (Merger or Purchase & Assumption),14
2751986,Charter Discontinued (Merger or Purchase & Assumption),14
84073,Charter Discontinued (Merger or Purchase & Assumption),14
605982,Charter Discontinued (Merger or Purchase & Assumption),14
277473,Charter Discontinued (Merger or Purchase & Assumption),14
474759,Charter Discontinued (Merger or Purchase & Assumption),14
34537,Charter Discontinued (Merger or Purchase & Assumption),14
1208559,Charter Discontinued (Merger or Purchase & Assumption),14
238791,Charter Discontinued (Merger or Purchase & Assumption),14
727473,Charter Discontinued (Merger or Purchase & Assumption),14
672818,Charter Discontinued (Merger or Purchase & Assumption),14
40798,Charter Discontinued (Merger or Purchase & Assumption),14
