#ID_RSSD,NM_LGL,PRIM_FED_REG,CHTR_TYPE_CD,ORG_TYPE_CD,ENTITY_TYPE,CITY,STATE_ABBR_NM,CNTRY_NM,ID_TAX,ID_LEI,CIK,#ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,TRNSFM_CD,SUCCESSOR_NM_LGL
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,966843,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,972844,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,978154,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,989253,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,1012448,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,1089347,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,1089534,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,1147069,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,1155626,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,1583676,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,1718076,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,2115083,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
60143,COMERICA BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,DALLAS,TX,UNITED STATES                           ,421741646,70WY0ID1N53Q4254VH70,901541,2622152,60143,Charter Discontinued (Merger or Purchase & Assumption),COMERICA BANK                                                                                                           
18854,BANK7,FRS,Commercial Bank,Corporation (stock),State Member Bank,OKLAHOMA CITY,OK,UNITED STATES                           ,730241651,5493003OO8EG0RKSFX83,1746129,54357,18854,"Failure, Government Assistance Provided",BANK7                                                                                                                   
18854,BANK7,FRS,Commercial Bank,Corporation (stock),State Member Bank,OKLAHOMA CITY,OK,UNITED STATES                           ,730241651,5493003OO8EG0RKSFX83,1746129,513957,18854,Charter Discontinued (Merger or Purchase & Assumption),BANK7                                                                                                                   
73189,WEST PENN P & P FEDERAL CREDIT UNION,NCUA,Credit Union (excluding Corporate Credit Union),Mutual,Federal Credit Union,BEAVER,PA,UNITED STATES                           ,251066974,0,105839,109891,73189,Charter Discontinued (Merger or Purchase & Assumption),WEST PENN P & P FEDERAL CREDIT UNION                                                                                    
